,correlation_with_churn,abs_correlation
Contract_Month,0.40510291068799115,0.40510291068799115
internet_other,0.30801974494482276,0.30801974494482276
PaymentElectronic,0.30191874901128496,0.30191874901128496
TotalCharges,-0.19817455654819377,0.19817455654819377
MonthlyCharges,0.19335642223784716,0.19335642223784716
Contract_1YR,-0.1778200183499079,0.1778200183499079
Dependents_att,-0.1642214015797254,0.1642214015797254
Partner_att,-0.15044754495917623,0.15044754495917623
PaymentCreditcard,-0.13430175066262845,0.13430175066262845
internet_att,-0.12421382390260355,0.12421382390260355
PaymentBank,-0.11793667192853866,0.11793667192853866
StreamingTV,0.06322774611875735,0.06322774611875735
StreamingMovies,0.06138154801518694,0.06138154801518694
landline,0.011941980029003084,0.011941980029003084
gender_Female,0.008612095078997776,0.008612095078997776
